id	name	description	type
Infobot	Infobot	Infobot is an artificial intelligence platform that allows you to create custom AI chatbots trained on your data.	AI Chatbots
Infomail	Infomail	Infomail is an email marketing tool. It makes it easy to manage lists and subscribers, send newsletters and transactional emails. Grow your business with the tools you need to send marketing emails.	Email Newsletters
Inksprout	Inksprout	Inksprout lets you summarize articles easily and in an automated manner.	Social Media Marketing
Inkybay	Inkybay	Inkybay - Product Customizer tool for Shopify and other eCommerce platforms. Automate your customized order flow by integrating with your favorite apps.	Productivity
Inoreader	Inoreader	Inoreader is a news reader designed to save you time. Harness the power of RSS to automate content discovery, collection, and distribution.	Website Builders
Insighto.ai	Insighto.ai	Insighto.ai is a LLM-powered platform to create AI agents & automate business workflows	AI Sales Tools
Insites	Insites	Insites automates your research and provides a comprehensive digital marketing audit in under 60 seconds.	Analytics
Instabase	Instabase	Instabase is an Unstructured Data Platform that automates document processing and data analysis	AI Document Extraction
InstabotChatbotPlatform	Instabot: Chatbot Platform	Instabot is a conversion chatbot for your website, mobile app & emails.	Marketing Automation
Instacharts	InstaCharts	InstaCharts creates embeddable charts and datatables from your data.	Analytics
Instrack	InsTrack	InsTrack offers powerful in-depth Instagram analytics and actionable insights for brands, influencers and agencies.	Analytics
IntegrationSocial	Integration Social	Integration Social automates lead communication via SMS and social messengers, manages appointments, and streamlines workflows with AI and multi-channel support	CRM (Customer Relationship Management)
Intelfinder	IntelFinder	IntelFinder is a fully automated service for customer-specific and actionable threat intelligence.	Security & Identity Tools
Intercloud9Sms	InterCloud9 SMS	Connect with InterCloud9 SMS' simple messaging solution for sending Texts and Automated Voice Messages. Easily integrate your CRM or Application today!	Marketing Automation
interface, sharing, embedding, and advanced video search.	museai	Video & Audio	AI Tool
Interviewer.ai	Interviewer.ai	Interviewer.ai is a  effective tool which can assist you in your hiring process. This product lets you to create and manage jobs , candidate and application and create video interview links and provides you results of candidate using AI.	HR Talent & Recruitment
IntouchTool	InTouch Tool	InTouch Tool automates your LinkedIn outreach with auto connections and followups. Setup your search filters to collect prospects, set your messages sequence aka drip campaign and get replies from new potential customers at scale.	Marketing Automation
Introist	Introist	Introist is a tool to create onboarding workflows to communicate and automate the checklists and busy work in employee onboarding.	HR Talent & Recruitment
IntrosAi	Intros AI	Intros AI is a platform for building stronger communities through personalized 1:1 and group matches.	Communication
Invanto	Invanto	Invanto business centralization suite is designed to provide an all-in-one solution to build & automate your business.	Project Management
InvgateServiceDesk	InvGate Service Desk	InvGate Service Desk is a ticketing solution with ITIL-ready functionalities to organize work based on priority, SLA & urgency, create automated workflows, integrate with CMDB and more.	Customer Support
InvoiceParse	Invoice Parse	Invoice Parse is an IA OCR tool to automate invoice analysis and get fast results as you need.	AI Document Extraction
IReserve	i-Reserve	I-Reserve is an online booking system, allowing companies to receive bookings from their clients.  Several steps in the workflow can be automated, amongst which the email communication.	Scheduling & Booking
Ison24AiVoiceAssistant	IsOn24 AI Voice Assistant	IsOn24 is a conversational AI voice assistant that answers your calls like you, sends text messages, books appointments, and connects to your favorite apps.	AI Assistants
It’sAi	It’s AI	It’s AI is an industry-leading AI text detection tool.	AI Assistants
Itautomate	ITautomate	ITautomate is an online platform that leverages PowerShell to automate a wide variety of IT operational tasks, saving your business time, money and resources	IT Operations
Jaicob	Jaicob	Jaicob is an agentic AI recruitment solution.	AI Assistants
JampackAi	Jampack AI	Jampack enables you to easily add AI into your workflows — so you can increase operational efficiency.	Business Intelligence
Jeffreyai	JeffreyAI	JeffreyAI is a smart engagement platform that assists you in lead management and proactively works with your sales people to close your next deal.	CRM (Customer Relationship Management)
JetbrainsSpace	JetBrains Space	JetBrains Space is an all-in-one collaboration solution for creative teams that includes chats, blogs, meetings, VCS, code review, CI/CD, package repositories, and issues.	Team Collaboration
Jobtoolz	Jobtoolz	Jobtoolz is an intuitive cloud-based recruitment platform on which you can build and show your employer branding, which automates your recruitment processes (ATS) and also attracts the right talent by data-driven recruitment marketing.	HR Talent & Recruitment
Jodie	Jodie	Jodie is an AI voice assistant that answers calls, engages customers naturally, and helps teams automate communication.	Phone & SMS
Joggai	JoggAI	JoggAI is a tool for generating and managing AI-created videos.	AI Assistants
Joinpoints	Joinpoints	Joinpoints is a platform for creating digital recurring workflows in order to perform and automate them in your company.	Productivity
Joonbot	Joonbot	Joonbot is a no-coding chatbot builder for marketing and customer support.	Marketing
Joynt	JOYNT	JOYNT is a quality inspection and operations platform that streamlines daily tasks with real-time insights, customizable templates, and automated reporting.	Product Management
Juice.ai	Juice.ai	Use Juice.ai to turn your site into a money-making machine. Build your content on powerful long-tail keywords that rank high in Google's SERPs.	Marketing Automation
Jumper.ai	Jumper.ai	Jumper.ai is a conversational commerce solution that turns digital marketing efforts into direct point of sales.	eCommerce
Justprotect	JustProtect	JustProtect is a regulation and content-agnostic cloud-based platform that centralizes, automates, and simplifies the assessment process for companies with or without a GRC.	Security & Identity Tools
Kafkai	Kafkai	Kafkai is an AI article writer that uses machine-learning algorithms to write articles from scratch.	Documents
Kaiten	Kaiten	Kaiten is an online platform for collaborative work. With a built-in proven methodology, it will help you to take your team and business to the next level.	Product Management
Kartra	Kartra	Kartra is an all-in-one solution to manage your online business: checkout, automated email campaigns, site builder, membership portals, etc.	Marketing Automation
Keen	Keen	Keen automates your referral management and allows you to scale your partnership programmes.	Sales & CRM
KendoEmail	Kendo Email	Kendo Email is a service that provides extra information on LinkedIn profiles.	Email
KimiyiAi	Kimiyi AI	Kimiyi AI is a realistic Digital Human assistant that enhances customer service with voice communication and 24/7 engagement.	AI Assistants
Kirim.email	Kirim.Email	Kirim.Email is an email marketing solution for any size of business, currently operated in the Indonesian and ASEAN market. Send your newsletter easily with KIRIM.EMAIL.	Email Newsletters
